Bearing,File,I1_RMS,I1_Variance,I1_PeakToPeak,I1_CrestFactor,I1_Skewness,I1_Kurtosis,I1_LineIntegral,I1_FFTPeak,I1_FFTEnergy,I2_RMS,I2_Variance,I2_PeakToPeak,I2_CrestFactor,I2_Skewness,I2_Kurtosis,I2_LineIntegral,I2_FFTPeak,I2_FFTEnergy,Label
K001,N15_M01_F10_K001_1.mat,0.921194471971547,0.848599255190937,3.6925588964855,2.00832529675231,0.0012961309909064,-1.48430073075385,18427.3979889206,83095.026728882,81431.3536412015,0.92696129549386,0.859257243343656,3.48661315687551,1.98610021783674,0.00684614230064387,-1.48147637674778,20960.3335945465,83613.1842814982,82482.9445773733,0
K001,N15_M01_F10_K001_10.mat,0.901191647315712,0.812146385191607,3.6264358496542,2.05761724473719,0.00490269596248177,-1.48259803861552,18937.2638488742,73965.6587823447,78023.0576142896,0.904737674891525,0.818550260368122,3.72493163816332,2.1779583028217,0.024841563705427,-1.48447199998174,20326.075130305,74226.654026941,78615.6103939775,0
K001,N15_M01_F10_K001_11.mat,0.901000438377071,0.811801789955674,3.63883392093507,2.06569651913655,-0.0178683854075932,-1.48159815909257,18473.782617491,80379.3850480223,77908.5227171692,0.907033993855539,0.822710666009531,3.4997000098942,2.04549024130468,0.0354516586379023,-1.48404427021152,20962.7450194106,80888.3577202297,78942.4170311795,0
K001,N15_M01_F10_K001_12.mat,0.901306162802425,0.812352799105632,3.6450329565755,2.04455614788604,0.010503833603369,-1.4784704731733,18814.9444776171,81327.2790316019,78017.5878434577,0.905745743447361,0.820375351773012,3.86406554920419,2.2275394320415,0.0188253692673973,-1.48700405758088,20873.6387035515,81682.8173479469,78721.562302886,0
K001,N15_M01_F10_K001_13.mat,0.899066724966431,0.808320975941864,3.59612945318985,2.00735536713195,-0.0122900664709489,-1.48392840638954,18346.539834372,74563.2223942253,77867.5296574489,0.906291894958295,0.821364998867096,3.32130553979725,1.85981947753944,0.0400270506825299,-1.48043269575321,20849.724890396,75172.6892425531,79221.3265674595,0
K001,N15_M01_F10_K001_14.mat,0.899580370959302,0.809244843815276,3.62781341312985,2.05589329706615,-0.0203107971810737,-1.48197842607715,18714.1626225202,80324.4408723846,77690.3849683395,0.90406697889104,0.817337102321173,3.48730193861333,2.01168900387231,0.0288216500122084,-1.4863901959171,20678.2533655459,80720.2891996488,78440.0636898051,0
K001,N15_M01_F10_K001_15.mat,0.897317848945769,0.805179322036663,3.58304260017116,1.99863755926727,-0.00726476905857541,-1.48439470527839,18616.0897459981,80166.127559572,77244.2262898891,0.903567867816608,0.816434891750651,3.44459747086812,2.04652630852075,0.0319501157484158,-1.48292789676916,20298.4405182017,80714.1720404836,78345.5119842498,0
K001,N15_M01_F10_K001_16.mat,0.898478892858401,0.807264320912057,3.59268554450072,2.07383160010474,-0.0158038868791676,-1.48274233412083,18789.282536411,81044.2257506817,77731.1397033924,0.902911123190162,0.81524849638052,3.43908721696551,1.91362097847839,0.0229571084056835,-1.48588582840499,20479.7540453035,81416.5413632531,78419.1118381609,0
K001,N15_M01_F10_K001_17.mat,0.898511139989486,0.807322268685206,3.58579772712246,2.00661001479351,0.00383049920703276,-1.48235193424699,18404.4980624831,80236.559955389,77456.3601697629,0.904512786900418,0.818143381666362,3.4521740699842,1.98607035425583,0.0109989707586599,-1.48155826310403,20950.0907213233,80765.3343146091,78532.2101350078,0
K001,N15_M01_F10_K001_18.mat,0.897518276283791,0.805539056263428,3.62850219486768,2.03614728913713,-0.00118792788812933,-1.48448854164267,18360.2073303957,80287.1834694254,77274.9949411998,0.903677146680681,0.816632385432937,3.43702087175203,1.99500292041036,0.00968840342404332,-1.48129491425207,20691.0929459207,80856.5983041803,78455.6933552344,0
K001,N15_M01_F10_K001_19.mat,0.897785694055155,0.806019152450096,3.57615478279289,2.03694647512557,0.00500342250576142,-1.4815586346402,18870.9293460494,80223.0595124542,77343.2526489107,0.901815926224547,0.813271964792238,3.40120422138508,1.99260786733539,0.0242680182113686,-1.48506974874815,20481.7611552876,80564.4380643318,78000.1402234596,0
K001,N15_M01_F10_K001_2.mat,0.914623643843075,0.836536409876784,3.6450329565755,2.00695081911952,0.00691234860827552,-1.48230492643672,18806.6177951886,82079.828225355,80226.7381753724,0.918290654068554,0.843257725349653,3.73664092770637,2.2403984289368,0.0197924377732651,-1.48555781485383,20616.3504844223,82404.6626320232,80867.5814405281,0
K001,N15_M01_F10_K001_20.mat,0.897245114490059,0.80504879547628,3.57477721931724,2.02955672604523,0.00622584822559017,-1.4807741345875,18925.2067245535,80205.2386378679,77294.4075073657,0.900881553178719,0.811587572857701,3.61472656011115,2.18632217319425,0.0242109873448632,-1.48487682652513,20414.6469515355,80533.6895241925,77934.6269142029,0
