Bearing,File,I1_RMS,I1_Variance,I1_PeakToPeak,I1_CrestFactor,I1_Skewness,I1_Kurtosis,I1_LineIntegral,I1_FFTPeak,I1_FFTEnergy,I2_RMS,I2_Variance,I2_PeakToPeak,I2_CrestFactor,I2_Skewness,I2_Kurtosis,I2_LineIntegral,I2_FFTPeak,I2_FFTEnergy,Label
K001,N15_M07_F04_K001_1.mat,1.75888838192439,3.09368834006859,5.97655913911671,1.7228617948213,0.00243641210777836,-1.49970188796586,19664.9431577805,160216.247473375,299754.099514247,1.7534976574864,3.0747540348103,5.67900542837585,1.65152893494231,0.0157531117339228,-1.4939549341943,20690.1534476303,159736.707674771,298027.442752509,0
K001,N15_M07_F04_K001_10.mat,1.75307573944287,3.07327454822315,6.05439147549105,1.73553726571333,0.0116903386716983,-1.49387037016519,19347.6255438545,157153.498648151,295141.775045294,1.75550399378282,3.08179427218744,5.88219604103454,1.71784992705913,0.0077461864804614,-1.49512796253392,21277.8874606086,157346.615638062,295913.56780139,0
K001,N15_M07_F04_K001_11.mat,1.75564298444227,3.08228228882136,6.01099822600801,1.75540264998063,-0.00996250163937112,-1.49513563038001,19419.9304067828,158039.206027058,295869.361599465,1.75178517575293,3.06875130198774,5.76028167343932,1.67399333725442,0.00587751469281266,-1.49615297920704,20776.919971926,157667.217033279,294387.312275792,0
K001,N15_M07_F04_K001_12.mat,1.75131108868803,3.06709052936165,5.98344695649497,1.72689400917677,0.00564260290959026,-1.49905092068779,19036.750794304,156850.142395832,294467.9664358,1.75080624790468,3.06532251770207,6.06059051113149,1.79031795778101,0.00147378999230288,-1.49228719863732,20706.014713489,156789.90948233,294193.382521687,0
K001,N15_M07_F04_K001_13.mat,1.7528092159563,3.07234014754135,6.0027328451541,1.72882176292592,-0.00172852602456358,-1.50128423055223,19260.7908301667,156326.226790225,295183.536833113,1.74911707208061,3.05941053184386,5.82227202984367,1.73824343322893,0.0166320510475232,-1.49381688115107,20372.8013946174,155936.468405695,293714.171421861,0
K001,N15_M07_F04_K001_14.mat,1.74973018623201,3.0615557246115,6.08951934412018,1.74864846919395,0.00671113507068439,-1.49744942077464,18907.6042184617,156937.487970915,294001.153297301,1.75353573659306,3.07488757950896,5.90905852880975,1.76972959001134,-0.00226576959579129,-1.48760540540364,21305.745237995,157241.221120727,295166.902721197,0
K001,N15_M07_F04_K001_15.mat,1.75444259227141,3.07806880957602,6.01719726164844,1.73585542903872,0.0096793659361582,-1.49390381514508,19600.4635441757,159460.188357011,297109.662389634,1.74968677032595,3.06140379425364,5.73273040392628,1.68282400935302,0.0155189561698491,-1.49533791159907,20910.7798812003,159038.190192853,295543.056162726,0
K001,N15_M07_F04_K001_16.mat,1.75008226692132,3.06278794099248,5.9552069052441,1.70828633596594,-0.00569519454218254,-1.49883617561035,19012.9492525717,156676.17119104,293900.999257538,1.75002972979657,3.06260405517184,5.74512847520715,1.69157400359686,0.0203420144448654,-1.49155950232137,20725.6959628656,156703.641573076,294078.999773522,0
K001,N15_M07_F04_K001_17.mat,1.74955625314764,3.060947082928,6.04681487637496,1.73167174725834,0.00511321903991521,-1.49754245203215,19139.8751960914,161382.135722277,299697.708062132,1.75288311036438,3.07259919860069,5.75890410996367,1.70155927736873,-0.00240741948127829,-1.48779266420248,21515.1410853297,161691.850733414,300873.248050216,0
K001,N15_M07_F04_K001_18.mat,1.75265162626,3.07178772303183,6.02821776945366,1.7430963107617,0.00302707536929976,-1.49788868101966,19531.4538130811,159877.458583026,298173.028104606,1.74862572024081,3.0576919094877,5.77750121688498,1.69728743466944,0.0164173301911326,-1.49433546841224,20722.8375186536,159380.963002895,296201.204269811,0
K001,N15_M07_F04_K001_19.mat,1.75142358636427,3.06748457887307,5.99722259125149,1.72822451877082,-0.00254484175564913,-1.50046814508544,19346.4346402298,158613.549241084,295196.147828995,1.7479700280778,3.05539921905831,5.71413329700498,1.67428541523342,0.0178276512431985,-1.49317239988866,20452.1166780733,158285.321773316,293992.373246401,0
K001,N15_M07_F04_K001_2.mat,1.75444348401052,3.07807193858698,6.02201873381323,1.73463677984586,0.00510082519155433,-1.49713081571142,19337.2483581924,141153.211746249,301134.739722523,1.75779289568334,3.08983586411483,5.85120086283236,1.72277937192633,-0.00173042357195179,-1.48854089521605,21721.6695342899,141376.851806471,302282.936394636,0
K001,N15_M07_F04_K001_20.mat,1.74912323666407,3.05943209703818,6.06747832850975,1.74037075097746,0.00463947664126841,-1.49901344113306,18976.1118276693,145570.542595246,293970.161694086,1.74946843496251,3.06063980493018,5.84844573588106,1.75757307677232,0.0013638419420442,-1.48988551074758,20871.0585271616,145657.024956777,294458.436662674,0
K001,N15_M07_F04_K001_3.mat,1.75735117634929,3.08828315701624,5.96416106783584,1.73512506121823,-0.00191398441936842,-1.50054865437315,19417.2434692235,156437.546908093,296594.845112574,1.75139833623088,3.06739613215231,5.90561462012062,1.7015440702324,0.00497278974757371,-1.49375409731449,20535.1830668734,155916.367002602,294528.531467555,0
K001,N15_M07_F04_K001_4.mat,1.75615953359562,3.08409630743877,6.0185748251241,1.72140250532287,-0.00248428972493816,-1.50100615457021,19379.0918487653,158631.897494694,296158.830900068,1.75190092051143,3.06915683528878,5.85877746194845,1.75322245749831,0.017095028819739,-1.49333402661357,20463.6069350237,158253.049357518,294727.220538944,0
